NUM,ProbA_D,ProbA_C,ProbB_D,ProbB_C,ProbC_D,ProbC_C,ProbD_D,ProbD_C,before_score_group,after_score_group,
1,0,s,0,s,0,s,0,s,1,1,B
2,0,s,0,s,0,s,2,z,1,1,B
3,1,x,0,x,0,0,0,x,3,3,B
4,1,z,1,y,0,0,0,x,2,3,C
5,0,0,0,0,0,0,0,0,3,3,B
6,0,0,0,0,0,0,0,0,3,3,B
7,1,z,1,z,0,s,1,z,2,1,A
8,0,0,0,0,0,0,0,0,3,3,B
9,0,0,0,0,0,0,0,0,3,3,B
10,0,0,0,0,0,0,0,0,2,3,C
11,2,z,2,z,2,z,2,z,2,2,B
12,1,s,0,0,0,0,0,0,3,2,A
13,2,z,2,z,2,z,2,z,2,1,A
14,0,0,0,0,0,0,5,0,2,3,C
15,0,0,0,0,0,0,0,0,3,3,B
16,2,z,2,z,2,z,2,z,1,1,B
17,1,z,0,0,0,0,0,0,2,3,C
18,0,s,0,s,0,s,0,s,1,1,B
19,1,z,5,0,2,z,5,0,1,2,C
20,0,s,0,s,0,s,0,s,2,1,A
21,5,0,0,0,0,0,0,0,3,3,B
22,0,0,0,0,0,0,0,0,3,3,B
23,0,g,2,z,0,0,2,z,1,2,C
24,0,0,0,0,0,0,0,0,3,3,B
25,1,z,2,z,2,z,5,0,2,2,B
26,0,0,0,0,0,0,0,0,3,3,B
27,1,c,2,z,2,z,2,z,1,1,B
28,1,c,2,y,2,z,2,z,1,2,C
29,0,0,0,0,0,0,0,0,3,3,B
30,0,s,0,0,0,0,0,0,1,2,C
31,2,z,2,z,2,z,2,z,2,1,A
32,0,0,0,0,0,0,0,0,2,3,C
33,1,c,2,z,2,z,5,0,1,2,C
35,1,z,2,z,2,z,5,0,2,2,B
36,0,s,0,s,2,z,2,z,1,1,B
37,1,c,0,x,0,0,0,x,2,3,C
38,1,c,3,c,2,0,1,c,2,2,B
39,0,s,0,s,0,s,0,s,2,2,B
40,1,c,0,0,0,0,0,0,3,2,A
41,1,c,0,g,2,0,5,0,1,2,C
42,0,0,0,0,0,0,0,0,3,3,B
43,0,0,0,s,0,0,0,0,2,3,C
45,1,z,2,y,0,0,0,x,3,2,A
46,2,z,0,s,0,s,0,s,1,1,B
47,1,c,0,0,2,z,5,0,2,2,B
49,0,s,0,s,0,s,2,z,2,2,B
50,1,c,0,s,0,0,0,0,2,2,B
51,0,s,0,s,0,0,0,0,2,2,B
52,1,z,0,0,0,0,0,0,3,3,B
53,2,0,2,x,5,0,5,s,2,2,B
54,1,z,0,s,0,s,0,s,1,1,B
55,0,s,0,s,0,0,0,0,2,2,B
56,0,g,0,0,0,0,0,0,3,2,A
57,0,s,0,s,0,s,0,s,1,1,B
59,2,z,2,z,0,s,0,s,1,1,B
60,1,c,0,s,0,s,0,s,,2,C
61,1,c,0,0,0,0,0,0,3,3,B
62,0,s,0,s,0,s,0,s,1,1,B
63,0,0,0,0,0,0,0,0,3,3,B
64,1,c,2,z,2,z,5,0,1,2,C
65,0,0,0,0,0,0,0,0,3,3,B
66,1,c,0,x,0,s,0,s,2,2,B
67,0,s,0,0,0,0,0,s,2,2,B
68,0,s,0,s,0,s,0,s,2,1,A
69,2,z,2,z,2,z,2,z,1,1,B
70,1,c,0,x,0,0,0,0,3,2,A
71,2,z,0,s,2,z,0,0,1,2,C
72,1,c,5,s,2,0,5,s,1,2,C
73,0,s,0,s,0,s,0,s,2,1,A
74,3,z,0,0,2,z,0,s,2,2,B
75,1,z,5,0,0,0,2,s,2,2,B
76,0,s,0,s,0,s,0,s,1,1,B
77,2,z,2,z,2,z,2,z,1,1,B
78,1,z,2,z,2,z,2,z,2,1,A
79,0,0,0,0,0,0,0,0,3,3,B
80,0,0,0,0,0,0,0,0,3,3,B
82,1,c,2,y,0,0,0,0,2,2,B
83,1,c,5,s,2,z,2,z,2,1,A
84,1,c,0,s,0,0,0,0,1,2,C
85,2,z,2,z,2,z,5,0,2,2,B
86,1,c,2,x,0,0,0,0,2,2,B
87,0,0,0,0,0,0,0,0,3,3,B
88,1,z,2,z,2,z,5,0,2,2,B
