,Group,School_Name,Rank,A,B
26,1,Airlangga University,465,-1.2855858744624011,-0.8788376610477321
18,1,Bandung Institute of Technology (ITB),303,-0.8635614587436964,-0.6068569535668092
10,1,Chulalongkorn University,215,-1.4814272699919961,-0.8703382639389532
12,1,Gadjah Mada University,254,-0.6870283698156107,-0.564359968022915
23,1,University of the Philippines,399,-1.1476693987373343,-0.9230345260133821
19,2,Taylor's University,332,-1.0594028542732914,1.2664101692080476
21,2,UCSI University,347,-0.7504699486491417,1.062424638597355
17,2,Universitas Indonesia,290,-1.4041940435859588,0.3637741962557345
25,2,Universiti Teknologi PETRONAS (UTP),414,-0.7284033125331307,0.6561534567977264
1,3,"Nanyang Technological University, Singapore (NTU)",12,2.57055878681047,1.9174639877405064
0,3,National University of Singapore (NUS),11,2.3609257437083673,1.9293631436927972
8,4,Indian Institute of Science,186,1.5720435025609856,-0.9145351289046032
6,4,Indian Institute of Technology Bombay (IITB),177,-0.10502084225582842,-0.9128352494828474
7,4,Indian Institute of Technology Delhi (IITD),185,0.25080366511484437,-0.916235008326359
22,4,Indian Institute of Technology Guwahati (IITG),395,0.4135451064704231,-0.9196347671698705
15,4,Indian Institute of Technology Kanpur (IITK),277,0.22322036996983058,-0.9230345260133821
16,4,Indian Institute of Technology Kharagpur (IIT-KGP),280,0.3556201866658951,-0.9213346465916262
13,4,Indian Institute of Technology Madras (IITM),255,0.019103985896731797,-0.9179348877481148
24,4,Indian Institute of Technology Roorkee (IITR),400,0.20115373385381996,-0.9043358523740685
14,4,Mahidol University,255,-0.2981039082709221,-0.8346407960820821
4,4,Universiti Kebangsaan Malaysia (UKM),144,0.33079522103538295,-0.13429047431870567
11,5,Universiti Brunei Darussalam (UBD),250,0.3473451981223908,1.8494688108702757
2,5,Universiti Malaya (UM),65,0.9459027027691813,0.4997645499961959
3,5,Universiti Putra Malaysia (UPM),143,0.07151224667225738,1.0726239151278898
5,5,Universiti Sains Malaysia (USM),147,-0.1712207506038607,0.33657612550764204
20,5,Universiti Teknologi Brunei,344,0.24804533560034317,0.8822374198912437
9,5,Universiti Teknologi Malaysia,191,0.07151224667225738,0.30597829591603826
