Year,Rank_Asia,School_Name,Overall,Academic Reputation,Employer Reputation ,Faculty Student,Papers per Faculty,Citations per Faculty ,International  Faculty,International Students,Faculty Staff with PhD,International Research Network,Inbound Exchange,Outbound Exchange,total students,international students,Total faculty staff,International Faculty staff,Domestic staff
2022,1,National University of Singapore (NUS),100,100,99.9,93.7,58.6,99.9,100,97.5,87.3,100,97.9,95.2,30312,7551,4288,2804,1484
2022,2,Peking University,99.5,100,100,96.8,72,97.3,97.3,82.2,88.6,97.6,70.9,100,31990,5436,5302,1207,4095
2022,3,"Nanyang Technological University, Singapore (NTU)",98.7,99.4,98.3,97.3,61,100,100,97.3,59.5,99.9,100,100,24651,6091,3812,2589,1223
2022,3,The University of Hong Kong,98.7,100,94.1,95.5,45.7,97.8,100,100,96.4,99.3,100,100,19986,8311,2944,2054,890
2022,5,Tsinghua University,98.3,100,100,97.7,82.1,97.5,77.6,68.9,99.7,94.6,51.3,68.4,39371,5420,6174,430,5744
2022,6,Zhejiang University,97.8,93.7,99.1,96.7,75.9,82,100,95.6,100,97.9,100,100,39936,9177,6065,2602,3463
2022,7,Fudan University,97.4,98.4,99.1,98.1,55.5,96.2,100,87.5,67.9,92.5,100,99,28454,5322,4526,1683,2843
2022,8,Universiti Malaya (UM),94.9,94,98.6,86,46.3,86.6,96.9,85.4,89.2,100,100,99.8,18559,3340,2386,526,1860
2022,9,The Hong Kong University of Science and Technology,94.2,98.2,87.3,81,66.4,100,100,99.8,91.9,78.4,100,100,9583,3033,1173,893,280
2022,10,Shanghai Jiao Tong University,93.9,97.8,98.7,71.8,95.1,70.7,75,76.2,83.7,97.4,98,90.4,38740,6371,4386,491,3895
2022,11,The Chinese University of Hong Kong (CUHK),93.6,99.1,84.3,79,53.7,99.8,100,99.9,77.8,92.3,100,98.2,18297,6062,2201,1164,1037
2022,11,The University of Tokyo,93.6,100,100,98.4,80.1,70.9,32.8,71.8,88.3,99.8,40.6,50.8,27704,3983,4473,301,4172
2022,13,Korea University,93.1,95.3,98.9,97.4,31.6,84.1,41.2,79.2,94.1,95.5,95.2,80.7,26014,3325,4026,326,3700
2022,14,KAIST - Korea Advanced Institute of Science & Technology,93,98.8,97.1,87.8,93.8,92.6,61.2,41.7,100,68.4,87.3,52,9965,869,1307,149,1158
2022,15,Kyoto University,92.1,100,99.9,99.4,64,70.3,47.9,63.5,96.1,99.7,35.1,6.9,22608,2863,3911,359,3552
2022,16,Yonsei University,91.1,93,99.1,97.4,38.8,73.7,55.7,86.5,98.3,80.2,99.8,83.9,23269,4274,3605,391,3214
2022,17,Sungkyunkwan University (SKKU),91,88.8,92.5,95.5,39.9,93.1,56.5,82.2,100,83,100,99.3,22482,3821,3313,351,2962
2022,18,Seoul National University,90.9,100,99.8,94.6,72.6,78.9,38.8,33,79,96.6,35.3,15.4,26646,1914,3859,298,3561
2022,19,National Taiwan University (NTU),90.8,99.6,98.3,55.4,59.7,76.2,55.5,81.7,89.1,96.1,83.1,90.6,29467,5058,2939,306,2633
2022,20,City University of Hong Kong,89.2,87.5,62.2,97.4,72.6,99.8,100,100,96.6,90.8,100,100,9564,5331,1483,1186,297
2022,21,Tokyo Institute of Technology (Tokyo Tech),88.8,95.3,99,96.5,85.5,42.6,74.7,78,78,89.2,69.4,28.1,9878,1622,1492,209,1283
2022,22,Osaka University,87.6,97.3,96.3,91.9,63.9,37.3,58.3,49.1,84.9,98.7,51.2,72.3,22618,2268,3127,341,2786
2022,23,Tohoku University,87.3,94,93.8,99.9,60.1,39.8,35.7,52.2,92.2,94.9,56.4,99.1,17717,1872,3323,240,3083
